num_Interation, epoch, Time_train, Train_Peak_RAM, Time_predict, Peak_Time_prediction, thres, tn, fp, fn, tp, acc, pre, Recall, spec, F1score, mcc, auc
16,200,15.0256558,31.159838,1.8670504,31.159838,0.499095205,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.501437097,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.503778989,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.506120881,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.508462773,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.510804666,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.513146558,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.51548845,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.517830342,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.520172235,40,8,4,29,0.851851852,0.783783784,0.878787879,0.833333333,0.828571429,0.702432037,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.552958726,41,7,5,28,0.851851852,0.8,0.848484848,0.854166667,0.823529412,0.696954839,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.555300618,41,7,5,28,0.851851852,0.8,0.848484848,0.854166667,0.823529412,0.696954839,0.931186869
